Exchange,Symbol,Date,Open,High,Low,Close,Volume,AdjCLose,Exchange,Symbol,Date,Div
NYSE,AA,2/6/1962,59.13,59.13,58.25,58.75,97600,0.63,NYSE,AA,2/6/1962,0.0125
NYSE,AA,5/15/1962,56.5,57.25,56.5,56.75,198400,0.61,NYSE,AA,5/15/1962,0.0125
NYSE,AA,8/14/1962,60.63,62.63,59.75,62,121600,0.67,NYSE,AA,8/14/1962,0.0125
NYSE,AA,11/13/1962,53.63,53.88,53,53.25,179200,0.58,NYSE,AA,11/13/1962,0.0125
NYSE,AA,2/5/1963,56.63,56.63,56,56.63,97600,0.62,NYSE,AA,2/5/1963,0.0125
NYSE,AA,5/14/1963,63.5,63.88,63.25,63.25,273600,0.69,NYSE,AA,5/14/1963,0.0125
NYSE,AA,8/13/1963,64.12,65,63.63,65,107200,0.72,NYSE,AA,8/13/1963,0.0125
NYSE,AA,11/12/1963,65.75,66.5,65.75,66.37,88000,0.74,NYSE,AA,11/12/1963,0.0125
NYSE,AA,2/4/1964,74,75.37,74,75.25,208000,0.84,NYSE,AA,2/4/1964,0.0125
NYSE,AA,5/12/1964,78.75,79.25,78.75,79,102400,0.88,NYSE,AA,5/12/1964,0.0125
NYSE,AA,8/11/1964,66.75,67.25,66.5,66.62,112000,0.75,NYSE,AA,8/11/1964,0.0125
NYSE,AA,11/9/1964,60.75,61.25,60.75,61.25,283200,0.69,NYSE,AA,11/9/1964,0.0125
NYSE,AA,2/2/1965,62.75,63.25,62.75,63.25,136000,0.72,NYSE,AA,2/2/1965,0.01458
NYSE,AA,5/10/1965,75.12,75.62,75.12,75.62,292800,0.86,NYSE,AA,5/10/1965,0.01458
NYSE,AA,8/10/1965,68.87,68.87,68.12,68.12,62400,0.78,NYSE,AA,8/10/1965,0.01458
NYSE,AA,11/8/1965,72.75,72.75,71,71.75,408000,0.83,NYSE,AA,11/8/1965,0.01458
NYSE,AA,2/8/1966,87.62,88.75,87.62,88.25,489600,1.02,NYSE,AA,2/8/1966,0.01458
NYSE,AA,5/10/1966,85.62,86.25,85.5,85.75,112000,0.99,NYSE,AA,5/10/1966,0.01667
NYSE,AA,8/9/1966,82.62,83,82.5,82.75,112000,0.96,NYSE,AA,8/9/1966,0.01667
NYSE,AA,11/4/1966,80.75,80.75,79.62,80.37,236800,0.94,NYSE,AA,11/4/1966,0.01667
NYSE,AA,2/7/1967,87.75,88,86.62,86.62,83200,1.02,NYSE,AA,2/7/1967,0.01667
NYSE,AA,5/9/1967,92.5,93.75,92,92.25,299200,1.09,NYSE,AA,5/9/1967,0.01875
NYSE,AA,8/8/1967,91.62,91.75,91,91.5,144000,1.09,NYSE,AA,8/8/1967,0.01875
NYSE,AA,11/6/1967,72.62,74,72.62,73.37,323200,0.88,NYSE,AA,11/6/1967,0.01875
NYSE,AA,2/6/1968,69.12,69.25,68.5,68.87,158400,0.83,NYSE,AA,2/6/1968,0.01875
NYSE,AA,5/13/1968,71.62,71.62,70.25,70.25,388800,0.85,NYSE,AA,5/13/1968,0.01875
NYSE,AA,8/12/1968,64.37,65,64,65,196800,0.79,NYSE,AA,8/12/1968,0.01875
NYSE,AA,11/8/1968,70.25,70.5,69.62,70.25,438400,0.86,NYSE,AA,11/8/1968,0.01875
NYSE,AA,2/3/1969,78.75,78.75,77.87,78.25,275200,0.97,NYSE,AA,2/3/1969,0.01875
NYSE,AA,5/12/1969,80.25,80.25,79.87,80.25,649600,1,NYSE,AA,5/12/1969,0.01875
NYSE,AA,8/11/1969,68.37,68.87,68.25,68.25,160000,0.85,NYSE,AA,8/11/1969,0.01875
NYSE,AA,11/7/1969,72.37,73,72.25,72.87,433600,0.92,NYSE,AA,11/7/1969,0.01875
NYSE,AA,2/2/1970,65.12,66.25,65.12,65.62,105600,0.83,NYSE,AA,2/2/1970,0.01875
NYSE,AA,5/11/1970,60.88,60.88,60.25,60.5,76800,0.77,NYSE,AA,5/11/1970,0.01875
NYSE,AA,8/10/1970,48.88,48.88,48.13,48.13,64000,0.62,NYSE,AA,8/10/1970,0.01875
NYSE,AA,11/6/1970,54.38,54.38,52.75,53.25,673600,0.69,NYSE,AA,11/6/1970,0.01875
